ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,100.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,92.7%
468,https://leetcode.com/problems/validate-ip-address,Validate IP Address,Medium,28.3%,88.9%
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,67.4%,84.4%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,81.8%
682,https://leetcode.com/problems/baseball-game,Baseball Game,Easy,80.3%,78.8%
3138,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,Minimum Length of Anagram Concatenation,Medium,39.8%,75.3%
1027,https://leetcode.com/problems/longest-arithmetic-subsequence,Longest Arithmetic Subsequence,Medium,49.9%,71.2%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,66.2%
1703,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,Minimum Adjacent Swaps for K Consecutive Ones,Hard,42.2%,66.2%
3091,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,Apply Operations to Make Sum of Array Greater Than or Equal to k,Medium,44.3%,66.2%
3122,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,Minimum Number of Operations to Satisfy Conditions,Medium,41.8%,66.2%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,59.8%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,59.8%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,59.8%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,59.8%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,50.7%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,50.7%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.7%,50.7%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,50.7%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,50.7%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,50.7%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,50.7%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,50.7%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,50.7%
665,https://leetcode.com/problems/non-decreasing-array,Non-decreasing Array,Medium,25.4%,50.7%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,58.3%,50.7%
818,https://leetcode.com/problems/race-car,Race Car,Hard,44.7%,50.7%
917,https://leetcode.com/problems/reverse-only-letters,Reverse Only Letters,Easy,68.4%,50.7%
997,https://leetcode.com/problems/find-the-town-judge,Find the Town Judge,Easy,50.7%,50.7%
1013,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,Partition Array Into Three Parts With Equal Sum,Easy,42.7%,50.7%
1668,https://leetcode.com/problems/maximum-repeating-substring,Maximum Repeating Substring,Easy,41.5%,50.7%
1925,https://leetcode.com/problems/count-square-sum-triples,Count Square Sum Triples,Easy,77.1%,50.7%
2261,https://leetcode.com/problems/k-divisible-elements-subarrays,K Divisible Elements Subarrays,Medium,54.9%,50.7%
3108,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,Minimum Cost Walk in Weighted Graph,Hard,68.2%,50.7%
3137,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,Minimum Number of Operations to Make Word K-Periodic,Medium,60.7%,50.7%
3153,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,Sum of Digit Differences of All Pairs,Medium,43.0%,50.7%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,29.4%,50.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,50.0%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,51.2%,50.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,50.0%
180,https://leetcode.com/problems/consecutive-numbers,Consecutive Numbers,Medium,46.2%,50.0%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.4%,50.0%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,57.4%,50.0%
438,https://leetcode.com/problems/find-all-anagrams-in-a-string,Find All Anagrams in a String,Medium,52.3%,50.0%
609,https://leetcode.com/problems/find-duplicate-file-in-system,Find Duplicate File in System,Medium,67.6%,50.0%
1456,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,Maximum Number of Vowels in a Substring of Given Length,Medium,60.6%,50.0%
1498,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition,Number of Subsequences That Satisfy the Given Sum Condition,Medium,49.7%,50.0%
