ID,URL,Title,Difficulty,Acceptance %,Frequency %
346,https://leetcode.com/problems/moving-average-from-data-stream,"Moving Average from Data Stream",Easy,80.2%,100.0%
1152,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Analyze User Website Visit Pattern",Medium,44.3%,81.9%
1917,https://leetcode.com/problems/leetcodify-friends-recommendations,"Leetcodify Friends Recommendations",Hard,28.7%,81.9%
1919,https://leetcode.com/problems/leetcodify-similar-friends,"Leetcodify Similar Friends",Hard,43.2%,81.9%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,"Kth Largest Element in an Array",Medium,68.9%,79.8%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,77.5%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,77.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,74.8%
480,https://leetcode.com/problems/sliding-window-median,"Sliding Window Median",Hard,39.0%,68.2%
383,https://leetcode.com/problems/ransom-note,"Ransom Note",Easy,65.9%,58.1%
509,https://leetcode.com/problems/fibonacci-number,"Fibonacci Number",Easy,74.1%,58.1%
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Maximum Depth of Binary Tree",Easy,78.1%,50.1%
125,https://leetcode.com/problems/valid-palindrome,"Valid Palindrome",Easy,53.2%,50.1%
286,https://leetcode.com/problems/walls-and-gates,"Walls and Gates",Medium,63.9%,50.1%
295,https://leetcode.com/problems/find-median-from-data-stream,"Find Median from Data Stream",Hard,54.4%,50.1%
