ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,100.0%
138,https://leetcode.com/problems/copy-list-with-random-pointer,"Copy List with Random Pointer",Medium,62.7%,95.9%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,91.1%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,85.3%
9,https://leetcode.com/problems/palindrome-number,"Palindrome Number",Easy,60.5%,77.7%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,77.7%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Best Time to Buy and Sell Stock II",Medium,69.6%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,67.1%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,68.2%,67.1%
48,https://leetcode.com/problems/rotate-image,"Rotate Image",Medium,79.6%,67.1%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,53.2%,67.1%
125,https://leetcode.com/problems/valid-palindrome,"Valid Palindrome",Easy,53.2%,67.1%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,67.1%
151,https://leetcode.com/problems/reverse-words-in-a-string,"Reverse Words in a String",Medium,56.2%,67.1%
155,https://leetcode.com/problems/min-stack,"Min Stack",Medium,58.0%,67.1%
204,https://leetcode.com/problems/count-primes,"Count Primes",Medium,36.0%,67.1%
229,https://leetcode.com/problems/majority-element-ii,"Majority Element II",Medium,56.1%,67.1%
234,https://leetcode.com/problems/palindrome-linked-list,"Palindrome Linked List",Easy,57.8%,67.1%
238,https://leetcode.com/problems/product-of-array-except-self,"Product of Array Except Self",Medium,68.8%,67.1%
509,https://leetcode.com/problems/fibonacci-number,"Fibonacci Number",Easy,74.1%,67.1%
692,https://leetcode.com/problems/top-k-frequent-words,"Top K Frequent Words",Medium,60.1%,67.1%
1614,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,"Maximum Nesting Depth of the Parentheses",Easy,84.8%,67.1%
2526,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream,"Find Consecutive Integers from a Data Stream",Medium,51.1%,67.1%
70,https://leetcode.com/problems/climbing-stairs,"Climbing Stairs",Easy,53.6%,62.5%
75,https://leetcode.com/problems/sort-colors,"Sort Colors",Medium,67.8%,62.5%
