ID,URL,Title,Difficulty,Acceptance %,Frequency %
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,100.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,92.4%
843,https://leetcode.com/problems/guess-the-word,Guess the Word,Hard,36.8%,92.4%
939,https://leetcode.com/problems/minimum-area-rectangle,Minimum Area Rectangle,Medium,55.4%,92.4%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,63.0%,92.4%
2115,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,Find All Possible Recipes from Given Supplies,Medium,56.9%,92.4%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,81.7%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,81.7%
963,https://leetcode.com/problems/minimum-area-rectangle-ii,Minimum Area Rectangle II,Medium,55.9%,81.7%
1024,https://leetcode.com/problems/video-stitching,Video Stitching,Medium,52.7%,81.7%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,41.9%,81.7%
2007,https://leetcode.com/problems/find-original-array-from-doubled-array,Find Original Array From Doubled Array,Medium,40.8%,81.7%
