ID,URL,Title,Difficulty,Acceptance %,Frequency %
3006,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i,Find Beautiful Indices in the Given Array I,Medium,40.8%,100.0%
3008,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,Find Beautiful Indices in the Given Array II,Hard,27.8%,79.1%
539,https://leetcode.com/problems/minimum-time-difference,Minimum Time Difference,Medium,62.6%,72.2%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,51.1%,69.1%
136,https://leetcode.com/problems/single-number,Single Number,Easy,77.6%,67.4%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,67.4%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.3%,67.4%
220,https://leetcode.com/problems/contains-duplicate-iii,Contains Duplicate III,Hard,24.7%,67.4%
303,https://leetcode.com/problems/range-sum-query-immutable,Range Sum Query - Immutable,Easy,72.0%,67.4%
325,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k,Maximum Size Subarray Sum Equals k,Medium,50.9%,67.4%
1232,https://leetcode.com/problems/check-if-it-is-a-straight-line,Check If It Is a Straight Line,Easy,40.0%,67.4%
2312,https://leetcode.com/problems/selling-pieces-of-wood,Selling Pieces of Wood,Hard,52.8%,67.4%
3650,https://leetcode.com/problems/minimum-cost-path-with-edge-reversals,Minimum Cost Path with Edge Reversals,Medium,61.8%,63.3%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,58.1%
1202,https://leetcode.com/problems/smallest-string-with-swaps,Smallest String With Swaps,Medium,60.5%,58.1%
244,https://leetcode.com/problems/shortest-word-distance-ii,Shortest Word Distance II,Medium,62.9%,54.8%
245,https://leetcode.com/problems/shortest-word-distance-iii,Shortest Word Distance III,Medium,59.5%,54.8%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,35.0%,54.8%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,54.8%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,50.8%
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,61.2%,50.8%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,45.6%
427,https://leetcode.com/problems/construct-quad-tree,Construct Quad Tree,Medium,78.2%,45.6%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,45.6%
2539,https://leetcode.com/problems/count-the-number-of-good-subsequences,Count the Number of Good Subsequences,Medium,48.2%,45.6%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,38.3%
718,https://leetcode.com/problems/maximum-length-of-repeated-subarray,Maximum Length of Repeated Subarray,Medium,51.3%,38.3%
2225,https://leetcode.com/problems/find-players-with-zero-or-one-losses,Find Players With Zero or One Losses,Medium,72.5%,38.3%
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,Number of Divisible Triplet Sums,Medium,67.5%,38.3%
