ID,URL,Title,Difficulty,Acceptance %,Frequency %
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.4%,100.0%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.4%,100.0%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.7%,100.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,95.2%
1242,https://leetcode.com/problems/web-crawler-multithreaded,Web Crawler Multithreaded,Medium,51.2%,89.3%
2759,https://leetcode.com/problems/convert-json-string-to-object,Convert JSON String to Object,Hard,61.8%,89.3%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,87.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,81.7%
57,https://leetcode.com/problems/insert-interval,Insert Interval,Medium,45.1%,81.7%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,81.7%
2034,https://leetcode.com/problems/stock-price-fluctuation,Stock Price Fluctuation ,Medium,49.0%,81.7%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,75.0%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,62.4%,75.0%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.2%,75.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,71.1%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,69.1%,71.1%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,71.1%
617,https://leetcode.com/problems/merge-two-binary-trees,Merge Two Binary Trees,Easy,79.0%,71.1%
642,https://leetcode.com/problems/design-search-autocomplete-system,Design Search Autocomplete System,Hard,49.9%,71.1%
1650,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,Lowest Common Ancestor of a Binary Tree III,Medium,83.0%,68.2%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,60.2%,63.8%
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,66.1%,63.6%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,56.1%,63.6%
